id,target,distractor,similarity,model_name,speaker_score,listener_score,description
30,409661_1710348,409661_448286,0,sampling_speaker1,-8.02005987197,-0.715849161148,a man wearing a hat
31,409661_1710348,409661_448286,0,sampling_speaker1,-15.0728334968,-0.542858123779,a person wearing a red shirt and a white shirt
32,409661_1710348,409661_448286,0,sampling_speaker1,-6.71325836249,-0.930402040482,a person wearing a white shirt
33,409661_1710348,409661_448286,0,sampling_speaker1,-11.2326393381,-0.649033069611,a person behind a person wearing a red shirt
34,409661_1710348,409661_448286,0,sampling_speaker1,-9.12505491688,-0.876686811447,a person wearing a orange shirt
35,409661_1710348,409661_448286,0,sampling_speaker1,-5.97795859259,-1.71188724041,the person in the background
36,409661_1710348,409661_448286,0,sampling_speaker1,-9.2955388815,-0.865849971771,a person wearing a tan shirt
37,409661_1710348,409661_448286,0,sampling_speaker1,-8.38862790608,-0.584840774536,a man in a red shirt
38,409661_1710348,409661_448286,0,sampling_speaker1,-17.9168224914,-0.837577342987,the person in a picture of a person wearing a hat
39,409661_1710348,409661_448286,0,sampling_speaker1,-9.89810735951,-1.16063523293,a person standing behind a woman
40,213070_1569908,213070_1074699,0,sampling_speaker1,-22.0075801031,-0.588046073914,a sandwich with a pink and blue and green top
41,213070_1569908,213070_1074699,0,sampling_speaker1,-29.0377193503,-0.645750582218,a small slices of pizza in the other pink and a sandwich
42,213070_1569908,213070_1074699,0,sampling_speaker1,-21.7693780113,-0.599426448345,sandwich with pink and yellow and pink shape
43,213070_1569908,213070_1074699,0,sampling_speaker1,-25.2403775656,-0.638856709003,a sandwich with a pink and pink on top of a pink top
44,213070_1569908,213070_1074699,0,sampling_speaker1,-16.1198576358,-0.649381637573,a yellow and pink top of a sandwich
45,213070_1569908,213070_1074699,0,sampling_speaker1,-23.9695637133,-0.646679282188,a sandwich with a purple and yellow and pink on top of it
46,213070_1569908,213070_1074699,0,sampling_speaker1,-20.9337471292,-0.593770861626,a sandwich with pink and green and blue top
47,213070_1569908,213070_1074699,0,sampling_speaker1,-24.3264007712,-0.648053646088,a sandwich with yellow and yellow and sitting on top of a plate
48,213070_1569908,213070_1074699,0,sampling_speaker1,-32.4665568809,-0.635703146458,a sandwich with a pink and blue and the top of the made it
49,213070_1569908,213070_1074699,0,sampling_speaker1,-27.5624503615,-0.600381374359,a blue and green sandwich with the pink out
50,442451_421840,442451_573338,0,sampling_speaker1,-6.66768726169,-1.39699995518,a woman in a hat
51,442451_421840,442451_573338,0,sampling_speaker1,-5.81677424962,-1.17310476303,a man in a hat
52,442451_421840,442451_573338,0,sampling_speaker1,-5.81677424962,-1.17310476303,a man in a hat
53,442451_421840,442451_573338,0,sampling_speaker1,-5.48322420453,-1.03441953659,a man wearing a hat
54,442451_421840,442451_573338,0,sampling_speaker1,-5.81677424962,-1.17310476303,a man in a hat
55,442451_421840,442451_573338,0,sampling_speaker1,-14.5416884831,-0.737484455109,a man wearing a hat and hat sitting hat
56,442451_421840,442451_573338,0,sampling_speaker1,-5.48322420453,-1.03441953659,a man wearing a hat
57,442451_421840,442451_573338,0,sampling_speaker1,-5.81677424962,-1.17310476303,a man in a hat
58,442451_421840,442451_573338,0,sampling_speaker1,-7.69920154847,-0.874971151352,a man wearing a hat and hat
59,442451_421840,442451_573338,0,sampling_speaker1,-5.81677424962,-1.17310476303,a man in a hat
60,327768_110670,327768_110569,0,sampling_speaker1,-11.995030715,-0.748625278473,a chair with a black chair next to it
61,327768_110670,327768_110569,0,sampling_speaker1,-15.1522391097,-0.747891306877,an chair chair with a black table
62,327768_110670,327768_110569,0,sampling_speaker1,-12.0173546803,-0.749736428261,chair chair with a table
63,327768_110670,327768_110569,0,sampling_speaker1,-11.284401574,-0.752965390682,chair chair with the wall
64,327768_110670,327768_110569,0,sampling_speaker1,-11.0150493256,-0.749550998211,chair with the black chair on it
65,327768_110670,327768_110569,0,sampling_speaker1,-6.12046223492,-0.749677419662,chair with chair
66,327768_110670,327768_110569,0,sampling_speaker1,-4.07380077729,-0.753144860268,chair
67,327768_110670,327768_110569,0,sampling_speaker1,-6.12046223492,-0.749677419662,chair with chair
68,327768_110670,327768_110569,0,sampling_speaker1,-13.4642894122,-0.735524952412,chair chair with the front of the desk
69,327768_110670,327768_110569,0,sampling_speaker1,-9.9483880713,-0.747178673744,chair with a black chair on it
70,311388_2219142,311388_1911162,0,sampling_speaker1,-24.1955695153,-0.67892742157,a glass of a plate with a pink and cheese
71,311388_2219142,311388_1911162,0,sampling_speaker1,-18.5069557962,-0.617599844933,a hot on a table with a piece of it
72,311388_2219142,311388_1911162,0,sampling_speaker1,-11.61913946,-0.609112024307,a slice of pizza on the right
73,311388_2219142,311388_1911162,0,sampling_speaker1,-17.7503503251,-0.624280333519,a slice of a pizza with a hot on it
74,311388_2219142,311388_1911162,0,sampling_speaker1,-20.9736085852,-0.688385426998,the red plate in the middle of the photo
75,311388_2219142,311388_1911162,0,sampling_speaker1,-10.2146031053,-0.608335077763,the middle of the pizza
76,311388_2219142,311388_1911162,0,sampling_speaker1,-10.3626990185,-0.747118771076,a small cheese
77,311388_2219142,311388_1911162,0,sampling_speaker1,-14.7111910406,-0.685111165047,the hot that is on the right
78,311388_2219142,311388_1911162,0,sampling_speaker1,-20.8520801797,-0.590255618095,a piece of a small dessert with cheese on it
79,311388_2219142,311388_1911162,0,sampling_speaker1,-15.5017776768,-0.615890204906,the pineapple of the pizza
80,163939_1116273,163939_1116908,0,sampling_speaker1,-13.6282124485,-0.718602538109,a bowl of a white and a table
81,163939_1116273,163939_1116908,0,sampling_speaker1,-17.3672746558,-0.742768466473,a white bowl of the bottom of the table
82,163939_1116273,163939_1116908,0,sampling_speaker1,-15.3835698061,-0.728953421116,a small white bowl of a small bowl
83,163939_1116273,163939_1116908,0,sampling_speaker1,-9.10134244074,-0.73092508316,a white bowl of a bowl
84,163939_1116273,163939_1116908,0,sampling_speaker1,-17.8979533005,-0.722927749157,a white bowl of a green and a sink
85,163939_1116273,163939_1116908,0,sampling_speaker1,-13.8058466671,-0.770015001297,the table to the right of the right of the picture
86,163939_1116273,163939_1116908,0,sampling_speaker1,-9.10134244074,-0.73092508316,a white bowl of a bowl
87,163939_1116273,163939_1116908,0,sampling_speaker1,-12.4199267743,-0.775541722775,the white bowl of the computer
88,163939_1116273,163939_1116908,0,sampling_speaker1,-9.60110107925,-0.751994431019,a white and white keyboard
89,163939_1116273,163939_1116908,0,sampling_speaker1,-7.33299972136,-0.768639028072,the white bowl
90,475236_1082730,475236_1081609,0,sampling_speaker1,-9.18339910343,-0.709583520889,a donut on the left
91,475236_1082730,475236_1081609,0,sampling_speaker1,-5.39078919037,-0.711114883423,the donut
92,475236_1082730,475236_1081609,0,sampling_speaker1,-9.36189119352,-0.709338366985,the dessert on the right
93,475236_1082730,475236_1081609,0,sampling_speaker1,-8.99932427986,-0.708684682846,a hot sauce
94,475236_1082730,475236_1081609,0,sampling_speaker1,-25.8155190209,-0.708098769188,a white hot sauce of a hot food
95,475236_1082730,475236_1081609,0,sampling_speaker1,-14.4947746411,-0.710520446301,a hot on top of the table
96,475236_1082730,475236_1081609,0,sampling_speaker1,-5.24012290875,-0.708480477333,a donut
97,475236_1082730,475236_1081609,0,sampling_speaker1,-10.778374942,-0.710610747337,the bottom of the donut
98,475236_1082730,475236_1081609,0,sampling_speaker1,-9.36508162689,-0.709445238113,the glazed on the left
99,475236_1082730,475236_1081609,0,sampling_speaker1,-5.39078919037,-0.711114883423,the donut
100,516198_477664,516198_435447,0,sampling_speaker1,-13.9073515989,-0.52086186409,skier with a man wearing black jacket and white hat
101,516198_477664,516198_435447,0,sampling_speaker1,-15.5891084362,-0.518333077431,a skier wearing a black jacket with a white and black jacket
102,516198_477664,516198_435447,0,sampling_speaker1,-14.4391600029,-0.511012136936,a skier with a black jacket in a white jacket
103,516198_477664,516198_435447,0,sampling_speaker1,-23.7303063389,-0.489198923111,a man wearing a black with his jacket and white and white jacket
104,516198_477664,516198_435447,0,sampling_speaker1,-12.9754334085,-0.539148807526,a man with a blue jacket and black jacket
105,516198_477664,516198_435447,0,sampling_speaker1,-15.1079931336,-0.52646946907,a woman wearing a black jacket and white jacket with a hat
106,516198_477664,516198_435447,0,sampling_speaker1,-10.8568421618,-0.518752813339,a man wearing a black jacket and white helmet
107,516198_477664,516198_435447,0,sampling_speaker1,-9.5036893667,-0.520272254944,a man wearing a black and white jacket
108,516198_477664,516198_435447,0,sampling_speaker1,-11.3916920271,-0.511264562607,a skier with a skier in a black jacket
109,516198_477664,516198_435447,0,sampling_speaker1,-11.8901415339,-0.508415937424,a skier with a black jacket and white skiing
110,360570_220430,360570_225970,0,sampling_speaker1,-17.8166554169,-1.37670063972,the girl in the blonde holding her hand
111,360570_220430,360570_225970,0,sampling_speaker1,-16.5719075501,-1.04223632812,a girl with a woman on her her her skirt
112,360570_220430,360570_225970,0,sampling_speaker1,-24.4470753876,-1.4368891716,a woman with a brown color phone on the left side
113,360570_220430,360570_225970,0,sampling_speaker1,-11.431582046,-0.854674816132,a woman with a woman in her phone
114,360570_220430,360570_225970,0,sampling_speaker1,-13.6593312006,-0.583008766174,a woman with a woman wearing a pink shirt
115,360570_220430,360570_225970,0,sampling_speaker1,-14.7256584853,-1.27147495747,a woman with a pink hat on her phone
116,360570_220430,360570_225970,0,sampling_speaker1,-12.3599097947,-1.22483158112,a woman wearing a brown color hat
117,360570_220430,360570_225970,0,sampling_speaker1,-8.14482532531,-1.06877350807,a woman in a green shirt
118,360570_220430,360570_225970,0,sampling_speaker1,-12.3632721588,-1.40989565849,the woman with a green hat
119,360570_220430,360570_225970,0,sampling_speaker1,-8.68221439487,-1.10938692093,a woman in a brown shirt
120,8320_591936,8320_592241,0,sampling_speaker1,-9.81341711346,-0.813889622688,the zebra zebra to the right
121,8320_591936,8320_592241,0,sampling_speaker1,-8.99691376318,-0.815621674061,the zebra to the left of another zebra
122,8320_591936,8320_592241,0,sampling_speaker1,-7.85023741866,-0.812561869621,a zebra with its head
123,8320_591936,8320_592241,0,sampling_speaker1,-4.31584229082,-0.810198664665,a zebra
124,8320_591936,8320_592241,0,sampling_speaker1,-6.71342363146,-0.813202857971,zebra in front of another zebra
125,8320_591936,8320_592241,0,sampling_speaker1,-6.53510068522,-0.812210798264,a zebra in front of another zebra
126,8320_591936,8320_592241,0,sampling_speaker1,-4.24837459748,-0.811778068542,the zebra
127,8320_591936,8320_592241,0,sampling_speaker1,-12.1874620062,-0.815073728561,zebra with its back to the left
128,8320_591936,8320_592241,0,sampling_speaker1,-7.75250917175,-0.81279706955,a zebra behind the zebra
129,8320_591936,8320_592241,0,sampling_speaker1,-12.4375247741,-0.814547896385,a zebra is standing behind the zebra
130,319160_598939,319160_596067,0,sampling_speaker1,-6.18717638676,-0.730403006077,the giraffe in the middle
131,319160_598939,319160_596067,0,sampling_speaker1,-8.50788943047,-0.74330496788,a giraffe in front of another giraffe
132,319160_598939,319160_596067,0,sampling_speaker1,-4.52259328333,-0.723468065262,a giraffe
133,319160_598939,319160_596067,0,sampling_speaker1,-8.64798516383,-0.745614111423,the giraffe in front of the middle
134,319160_598939,319160_596067,0,sampling_speaker1,-15.2643984674,-0.743922293186,a giraffe on the right of other other
135,319160_598939,319160_596067,0,sampling_speaker1,-7.92173099789,-0.727722227573,a giraffe on right
136,319160_598939,319160_596067,0,sampling_speaker1,-6.18717638676,-0.730403006077,the giraffe in the middle
137,319160_598939,319160_596067,0,sampling_speaker1,-12.592661364,-0.733953297138,a giraffe in front of the other other neck
138,319160_598939,319160_596067,0,sampling_speaker1,-7.81299806136,-0.745795190334,the giraffe on the right hand
139,319160_598939,319160_596067,0,sampling_speaker1,-6.79610053888,-0.751168847084,the middle of the giraffe
140,409740_399187,409740_485557,0,sampling_speaker1,-10.2150810679,-0.706331849098,a red and black car
141,409740_399187,409740_485557,0,sampling_speaker1,-15.0843332067,-0.538714885712,a red car with a red and white truck
142,409740_399187,409740_485557,0,sampling_speaker1,-21.2371141716,-0.513461232185,a red car bus with a red and white suv
143,409740_399187,409740_485557,0,sampling_speaker1,-6.01637363186,-0.530886411667,a red truck
144,409740_399187,409740_485557,0,sampling_speaker1,-10.4315178032,-0.225627079606,the back of a red truck
145,409740_399187,409740_485557,0,sampling_speaker1,-6.70510441503,-0.609832584858,a black car
146,409740_399187,409740_485557,0,sampling_speaker1,-6.01637363186,-0.530886411667,a red truck
147,409740_399187,409740_485557,0,sampling_speaker1,-9.04479226559,-0.569965839386,a red parked
148,409740_399187,409740_485557,0,sampling_speaker1,-15.8875969546,-0.428270548582,a black car behind the silver truck
149,409740_399187,409740_485557,0,sampling_speaker1,-22.4044819013,-0.487592726946,a green car parked in the back of a gray
150,144_1414540,144_596031,0,sampling_speaker1,-11.5297065798,-0.776630938053,a giraffe with a zoo
151,144_1414540,144_596031,0,sampling_speaker1,-14.2690446929,-0.771827876568,a giraffe ' s front of giraffes
152,144_1414540,144_596031,0,sampling_speaker1,-10.3065476853,-0.775652825832,giraffe in front of two other giraffes
153,144_1414540,144_596031,0,sampling_speaker1,-13.2114153437,-0.780931770802,a giraffe giraffe looking down
154,144_1414540,144_596031,0,sampling_speaker1,-16.4546121085,-0.776227176189,the giraffe that is ' s over
155,144_1414540,144_596031,0,sampling_speaker1,-11.5028612243,-0.77919793129,a giraffe who is giraffes
156,144_1414540,144_596031,0,sampling_speaker1,-13.4538024687,-0.775839328766,a giraffe near the front of a giraffe
157,144_1414540,144_596031,0,sampling_speaker1,-8.67024979362,-0.778958380222,a giraffe in front of another giraffe
158,144_1414540,144_596031,0,sampling_speaker1,-22.5402300488,-0.771606445312,a giraffe ' s head towards the front of the front
159,144_1414540,144_596031,0,sampling_speaker1,-9.14050825066,-0.773925960064,a giraffe with it
160,344214_37048,344214_40139,0,sampling_speaker1,-19.0107425723,-0.568644464016,a white goose with yellow and yellow on it
161,344214_37048,344214_40139,0,sampling_speaker1,-12.0566678746,-0.57647818327,a white you on the left
162,344214_37048,344214_40139,0,sampling_speaker1,-13.0427012141,-0.572849035263,a white bird with white
163,344214_37048,344214_40139,0,sampling_speaker1,-15.6353932811,-0.570195555687,a white duck in front of two other other other
164,344214_37048,344214_40139,0,sampling_speaker1,-13.862921744,-0.567438840866,a bird in front of other other other
165,344214_37048,344214_40139,0,sampling_speaker1,-15.8819042788,-0.590426623821,the bird in the back of the other
166,344214_37048,344214_40139,0,sampling_speaker1,-19.1580787481,-0.569246828556,a white in front of another other two other other
167,344214_37048,344214_40139,0,sampling_speaker1,-14.0696429764,-0.569290876389,a white bird in front of two other other other
168,344214_37048,344214_40139,0,sampling_speaker1,-7.34671104189,-0.573153376579,a white bird
169,344214_37048,344214_40139,0,sampling_speaker1,-11.5547920261,-0.583348572254,the white bird on the side
170,311448_310064,311448_1909845,0,sampling_speaker1,-7.97132471464,-0.722076535225,the sandwich on the right side
171,311448_310064,311448_1909845,0,sampling_speaker1,-7.62693993569,-0.724937260151,a sandwich in a plate
172,311448_310064,311448_1909845,0,sampling_speaker1,-5.94719996413,-0.723964691162,a sandwich on the plate
173,311448_310064,311448_1909845,0,sampling_speaker1,-8.24826193835,-0.723239719868,a sandwich to the plate
174,311448_310064,311448_1909845,0,sampling_speaker1,-8.62126116754,-0.726878345013,a sandwich with a plate on it
175,311448_310064,311448_1909845,0,sampling_speaker1,-5.98371696737,-0.725038766861,a sandwich on a plate
176,311448_310064,311448_1909845,0,sampling_speaker1,-11.1164106106,-0.727828502655,a plate with a sandwhich on it
177,311448_310064,311448_1909845,0,sampling_speaker1,-8.62126116754,-0.726878345013,a sandwich with a plate on it
178,311448_310064,311448_1909845,0,sampling_speaker1,-7.52379511354,-0.728157281876,a sandwich with a plate
179,311448_310064,311448_1909845,0,sampling_speaker1,-9.26249893487,-0.723117113113,a sandwich on a plate with a plate
180,391876_477929,391876_469694,0,sampling_speaker1,-8.23294485122,-0.358224630356,a woman in a red shirt
181,391876_477929,391876_469694,0,sampling_speaker1,-9.38301992192,-0.354992628098,a woman in a pink shirt
182,391876_477929,391876_469694,0,sampling_speaker1,-8.71610756152,-0.354821443558,a woman in a black shirt
183,391876_477929,391876_469694,0,sampling_speaker1,-25.780204986,-0.340102434158,a girl in a blue shirt with a red and a white hat
184,391876_477929,391876_469694,0,sampling_speaker1,-12.9080329729,-0.347151994705,a woman in a white shirt and black pants
185,391876_477929,391876_469694,0,sampling_speaker1,-12.2768893069,-0.343221664429,a woman wearing a black shirt and white pants
186,391876_477929,391876_469694,0,sampling_speaker1,-11.9367909047,-0.344943284988,a woman in a blue shirt and jeans
187,391876_477929,391876_469694,0,sampling_speaker1,-15.0205952604,-0.315529823303,a man in a red shirt and blue shirt
188,391876_477929,391876_469694,0,sampling_speaker1,-17.6317705952,-0.342380046844,a woman in a red shirt and blue at the background
189,391876_477929,391876_469694,0,sampling_speaker1,-11.5027106001,-0.363847494125,a woman in a blurry shirt
190,164001_680856,164001_681903,0,sampling_speaker1,-13.7398208891,-0.724627494812,a cup of a coffee coffee with a coffee
191,164001_680856,164001_681903,0,sampling_speaker1,-9.66064841999,-0.741939723492,a cup of coffee cup of coffee
192,164001_680856,164001_681903,0,sampling_speaker1,-12.498755397,-0.730885982513,a mug coffee cup of a mug
193,164001_680856,164001_681903,0,sampling_speaker1,-11.6425375073,-0.729739129543,a cup of coffee with a coffee on it
194,164001_680856,164001_681903,0,sampling_speaker1,-15.3798090009,-0.730509102345,a white cup coffee mug with coffee cup
195,164001_680856,164001_681903,0,sampling_speaker1,-10.5148088108,-0.73105764389,a cup of mug with coffee
196,164001_680856,164001_681903,0,sampling_speaker1,-14.5639689616,-0.733511209488,a white cup of coffee with the coffee
197,164001_680856,164001_681903,0,sampling_speaker1,-13.9755990942,-0.726311922073,a coffee mug with a cup of a cup
198,164001_680856,164001_681903,0,sampling_speaker1,-10.3231807054,-0.742777824402,a cup of coffee cup of cup
199,164001_680856,164001_681903,0,sampling_speaker1,-13.5559886994,-0.732654988766,a cup with coffee sitting on top of it
200,458935_1101445,458935_478652,0,sampling_speaker1,-12.3350721372,-0.858019649982,the girl with green shirt on it
201,458935_1101445,458935_478652,0,sampling_speaker1,-11.5000387398,-0.270898461342,a cup with a laptop on it
202,458935_1101445,458935_478652,0,sampling_speaker1,-14.44203107,-0.867740154266,a girl with a red color laptop
203,458935_1101445,458935_478652,0,sampling_speaker1,-16.1257266115,-0.379446387291,a green plastic cup on a computer
204,458935_1101445,458935_478652,0,sampling_speaker1,-14.9986163926,-1.31120061874,a small girl with a green shirt sitting on it
205,458935_1101445,458935_478652,0,sampling_speaker1,-14.5189382207,-0.531920850277,a cup of a green shirt
206,458935_1101445,458935_478652,0,sampling_speaker1,-17.9197110696,-0.870079815388,a computer with a green shirt on the table
207,458935_1101445,458935_478652,0,sampling_speaker1,-26.3221963802,-0.194325268269,a silver color green color with plastic on it
208,458935_1101445,458935_478652,0,sampling_speaker1,-30.3868426994,-0.852421164513,a small red plastic a girl on a green near a table
209,458935_1101445,458935_478652,0,sampling_speaker1,-14.5697099067,-0.425489008427,a green girl with green on it
210,205000_446511,205000_481130,0,sampling_speaker1,-10.5989650731,-0.632173776627,a woman with a black hat
211,205000_446511,205000_481130,0,sampling_speaker1,-11.9123031299,-0.614400267601,a girl with a pink scarf
212,205000_446511,205000_481130,0,sampling_speaker1,-10.75634202,-0.628040671349,a woman with a blue hair
213,205000_446511,205000_481130,0,sampling_speaker1,-10.5630683948,-0.58890748024,a woman wearing a purple hat
214,205000_446511,205000_481130,0,sampling_speaker1,-10.0699251517,-0.631113886833,a woman with a red sweater
215,205000_446511,205000_481130,0,sampling_speaker1,-18.4443096135,-0.604525089264,a girl with a pink shirt on a child
216,205000_446511,205000_481130,0,sampling_speaker1,-9.56552363232,-0.548680067062,a woman in a green shirt
217,205000_446511,205000_481130,0,sampling_speaker1,-17.6668935173,-0.647807240486,a woman in a pink top of a green sweater
218,205000_446511,205000_481130,0,sampling_speaker1,-10.2389416888,-0.636939883232,a woman with a gray hair
219,205000_446511,205000_481130,0,sampling_speaker1,-12.5249424345,-0.634269118309,a child with a woman on top
220,131279_524856,131279_491252,0,sampling_speaker1,-12.3852015112,-0.866449117661,a girl wearing a brown shirt and jeans
221,131279_524856,131279_491252,0,sampling_speaker1,-10.3325593662,-0.868283390999,girl in the little girl
222,131279_524856,131279_491252,0,sampling_speaker1,-7.36774872861,-0.856866121292,a girl wearing a blue shirt
223,131279_524856,131279_491252,0,sampling_speaker1,-10.2471444398,-0.853693962097,a little girl sitting on a little girl
224,131279_524856,131279_491252,0,sampling_speaker1,-8.44332544396,-0.895735263824,little girl wearing blue shirt
225,131279_524856,131279_491252,0,sampling_speaker1,-9.22266779117,-0.870435357094,the girl in the girl
226,131279_524856,131279_491252,0,sampling_speaker1,-16.4960415348,-0.873520612717,a little girl with a blue shirt and white hair
227,131279_524856,131279_491252,0,sampling_speaker1,-7.07279600524,-0.8851749897,girl in blue shirt
228,131279_524856,131279_491252,0,sampling_speaker1,-18.6851339718,-0.834311246872,a girl with a baby sitting on her and blue shirt
229,131279_524856,131279_491252,0,sampling_speaker1,-22.3261923842,-0.847430944443,a little girl in the striped shirt sitting on her next to the right
230,458827_642249,458827_639617,0,sampling_speaker1,-3.52192948985,-0.77394336462,skateboard
231,458827_642249,458827_639617,0,sampling_speaker1,-5.12572788093,-0.764466166496,the skateboard on the skateboard
232,458827_642249,458827_639617,0,sampling_speaker1,-3.40769564434,-0.769559383392,the skateboard
233,458827_642249,458827_639617,0,sampling_speaker1,-3.52192948985,-0.77394336462,skateboard
234,458827_642249,458827_639617,0,sampling_speaker1,-6.5124308344,-0.776959359646,skateboard board
235,458827_642249,458827_639617,0,sampling_speaker1,-3.80111148047,-0.72840577364,a skateboard
236,458827_642249,458827_639617,0,sampling_speaker1,-3.80111148047,-0.72840577364,a skateboard
237,458827_642249,458827_639617,0,sampling_speaker1,-9.23972380329,-0.608647465706,a skateboard board in the skateboard
238,458827_642249,458827_639617,0,sampling_speaker1,-3.52192948985,-0.77394336462,skateboard
239,458827_642249,458827_639617,0,sampling_speaker1,-3.52192948985,-0.77394336462,skateboard
240,406772_658633,406772_488155,0,sampling_speaker1,-17.387874742,-1.8103685379,a man with a white shirt and black shorts racket racket
241,406772_658633,406772_488155,0,sampling_speaker1,-15.2049099202,-0.488849908113,the lady wearing white and white shorts
242,406772_658633,406772_488155,0,sampling_speaker1,-10.202088417,-1.55901622772,a woman wearing a white shirt
243,406772_658633,406772_488155,0,sampling_speaker1,-7.6830890237,-0.390910923481,a tennis racket racket
244,406772_658633,406772_488155,0,sampling_speaker1,-11.1304386225,-0.337655514479,a white and white tennis racket
245,406772_658633,406772_488155,0,sampling_speaker1,-16.6336861825,-0.66678571701,a woman with a black and white racket on top
246,406772_658633,406772_488155,0,sampling_speaker1,-15.5951983205,-1.29933536053,a man in a purple shorts
247,406772_658633,406772_488155,0,sampling_speaker1,-13.6099534545,-0.470750749111,a grey racket with a tennis racket
248,406772_658633,406772_488155,0,sampling_speaker1,-5.20666886152,-0.382769554853,a tennis racket
249,406772_658633,406772_488155,0,sampling_speaker1,-5.20666886152,-0.382769554853,a tennis racket
250,524520_353258,524520_353518,0,sampling_speaker1,-13.4370725953,-0.813615977764,a black car with a black hair
251,524520_353258,524520_353518,0,sampling_speaker1,-20.0550185958,-0.822157561779,a black cross with a black hair
252,524520_353258,524520_353518,0,sampling_speaker1,-12.2183452309,-0.781243085861,a black car with the window
253,524520_353258,524520_353518,0,sampling_speaker1,-6.21799048276,-0.778673768044,a black car
254,524520_353258,524520_353518,0,sampling_speaker1,-14.4802757589,-0.763389527798,a black car in front of a computer
255,524520_353258,524520_353518,0,sampling_speaker1,-22.8453939157,-0.702058374882,a black car in the right of the front of the window
256,524520_353258,524520_353518,0,sampling_speaker1,-20.5184932246,-0.815246105194,a black car with a black and an seat
257,524520_353258,524520_353518,0,sampling_speaker1,-11.9255274943,-0.790992438793,a black car with its hair
258,524520_353258,524520_353518,0,sampling_speaker1,-22.5126539754,-0.803828895092,a black car with its black and black remote
259,524520_353258,524520_353518,0,sampling_speaker1,-24.2740125292,-0.829989671707,a black car with a black hair and a black seat
260,445462_1813683,445462_2207621,0,sampling_speaker1,-12.4791927995,-1.83771622181,a man in a black jacket and black jacket
261,445462_1813683,445462_2207621,0,sampling_speaker1,-20.6096142456,-0.822844803333,a black lunchbox on a girl
262,445462_1813683,445462_2207621,0,sampling_speaker1,-18.265217198,-1.30502283573,a black jacket sitting on a girl in a bench
